,Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Images,Last Visited
1613,Women's Running Ultraboost A.RDY Shoes,EH1208,16999,16999,0,Adidas,Feel the breeze. These adidas running shoes bring a cooling sensation to your hot-weather runs with a super-breathable knit upper. The transparent windows let bright socks show through. Responsive cushioning works with the flexible outsole to give you a smooth stride and endless energy. Feel icy cool with the transparent outsole and see-through 3-Stripes.,0,0,"[""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_1.jpg"",""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_2.jpg"",""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_3.jpg"",""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_4.jpg"",""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_5.jpg"",""https://content.adidas.co.in/static/Product-EH1208/WOMEN_RUNNING_SHOES_EH1208_6.jpg""]",2020-04-13T15:07:20
2220,Men's adidas Originals Saint Florent BF Shoes,EF9612,16999,16999,0,Adidas,"Known for breaking free from convention, Japanese design label Bed J.W. Ford brings a distinctly tailored edge to familiar adidas silhouettes. This version brings an adidas Primeknit upper to the casual styling of the original. Adjustable laces at the heel complete the modern design.",0,0,"[""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_1.jpg"",""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_2.jpg"",""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_3.jpg"",""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_4.jpg"",""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_5.jpg"",""https://content.adidas.co.in/static/Product-EF9612/Men_ORIGINALS_SHOES_LOW_EF9612_6.jpg""]",2020-04-13T15:07:44
2495,Men's Originals Salvapor 032c Shoes,EG5933,16999,16999,0,Adidas,"Berlin-based magazine 032c's collaboration with adidas Originals pushes the boundaries of contemporary design. Blending an outdoor gear aesthetic with sleek style, these shoes bring an unexpected edge to urban environments. Neon details stand out on the textile upper. The EVA midsole keeps you comfortable.",0,0,"[""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_1.jpg"",""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_2.jpg"",""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_3.jpg"",""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_4.jpg"",""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_5.jpg"",""https://content.adidas.co.in/static/Product-EG5933/Men_ORIGINALS_SHOES_LOW_EG5933_6.jpg""]",2020-04-13T15:07:54
2598,Men's Basketball Harden Vol. 4 GCA - Forbidden Shoes,FW3136,16999,16999,0,Adidas,Remix James Harden's game. These adidas basketball shoes combine the former MVP's signature look with the fresh perspective of Chinese New Year. Change directions and break defenders' ankles in snug comfort. Stop and go on a dime.,0,0,"[""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_1.jpg"",""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_2.jpg"",""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_3.jpg"",""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_4.jpg"",""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_5.jpg"",""https://content.adidas.co.in/static/Product-FW3136/MEN_BASKETBALL_SHOES_FW3136_6.jpg""]",2020-04-13T15:07:58
1965,Men's adidas Originals Spezial Winterhill Shoes,EF1157,16999,16999,0,Adidas,"Rethinking conventional terracewear, adidas Spezial's new collection brings winter-ready style to modern classics. Borrowing elements of an archival silhouette, the Winterhill SPZL shoes are updated for cold weather with an easy mid cut. ",0,0,"[""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_1.jpg"",""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_2.jpg"",""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_3.jpg"",""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_4.jpg"",""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_5.jpg"",""https://content.adidas.co.in/static/Product-EF1157/Men_ORIGINALS_SHOES_MID_EF1157_6.jpg""]",2020-04-13T15:07:35
1612,Women's Running Ultraboost 20 Shoes,EG0719,16999,16999,0,Adidas,"Confidence from the ground up. These adidas running shoes are designed to turbo charge your daily miles. The knit upper offers stitched-in support based on motion capture technology. A soft, comfortable elastane heel allows for natural movement of the Achilles. Responsive cushioning helps keep transitions smooth and the energy flowing.",0,0,"[""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_1.jpg"",""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_2.jpg"",""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_3.jpg"",""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_4.jpg"",""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_5.jpg"",""https://content.adidas.co.in/static/Product-EG0719/WOMEN_RUNNING_SHOES_EG0719_6.jpg""]",2020-04-13T15:07:19
1560,Men's adidas Originals 424 Pro Model Shoes,EG3096,16999,16999,0,Adidas,"The heritage Pro Model returns in a collaboration between adidas and L.A. streetwear brand 424. Channelling the clean, striking style the label is known for, this version has a sleek monochromatic leather upper that effortlessly merges with a thick rubber cupsole. 424 signs off the look with a signature flash of red on the heel.",0,0,"[""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_1.jpg"",""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_2.jpg"",""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_3.jpg"",""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_4.jpg"",""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_5.jpg"",""https://content.adidas.co.in/static/Product-EG3096/Men_ORIGINALS_SHOES_MID_EG3096_6.jpg""]",2020-04-13T15:07:16
1629,Women's Running Ultraboost 20 Shoes,EG0761,16999,16999,0,Adidas,"Confidence from the ground up. These adidas running shoes are designed to turbo charge your daily miles. The knit upper offers stitched-in support based on motion capture technology. A soft, comfortable elastane heel allows for natural movement of the Achilles. Responsive cushioning helps keep transitions smooth and the energy flowing.",0,0,"[""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_1.jpg"",""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_2.jpg"",""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_3.jpg"",""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_4.jpg"",""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_5.jpg"",""https://content.adidas.co.in/static/Product-EG0761/WOMEN_RUNNING_SHOES_EG0761_6.jpg""]",2020-04-13T15:07:20
1619,Women's Running Ultraboost 20 Shoes,EG0720,16999,16999,0,Adidas,"Confidence from the ground up. These adidas running shoes are designed to turbo charge your daily miles. The knit upper offers stitched-in support based on motion capture technology. A soft, comfortable elastane heel allows for natural movement of the Achilles. Responsive cushioning helps keep transitions smooth and the energy flowing.",0,0,"[""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_1.jpg"",""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_2.jpg"",""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_3.jpg"",""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_4.jpg"",""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_5.jpg"",""https://content.adidas.co.in/static/Product-EG0720/WOMEN_RUNNING_SHOES_EG0720_6.jpg""]",2020-04-13T15:07:20
1646,Men's adidas Originals Supercourt RX Gore-Tex Shoes,FU8941,15999,15999,0,Adidas,"A distillation of forty years of adidas court shoes, these shoes serve up court style with modern attitude. This version of the beloved court shoes features printed detail inspired by modernist art. GORE-TEX lining makes them ready for cold weather.",0,0,"[""https://content.adidas.co.in/static/Product-FU8941/Men_AORIGINALS_SHOES_FU8941_1.jpg"",""https://content.adidas.co.in/static/Product-FU8941/Men_ORIGINALS_SHOES_FU8941_2.jpg"",""https://content.adidas.co.in/static/Product-FU8941/Men_ORIGINALS_SHOES_FU8941_3.jpg"",""https://content.adidas.co.in/static/Product-FU8941/Men_ORIGINALS_SHOES_FU8941_4.jpg"",""https://content.adidas.co.in/static/Product-FU8941/Men_ORIGINALS_SHOES_FU8941_5.jpg"",""https://content.adidas.co.in/static/Product-FU8941/Men_ORIGINALS_SHOES_FU8941_6.jpg""]",2020-04-13T15:07:21
2240,Men's adidas Running Solarboost ST 19 Shoes,EE4316,15999,15999,0,Adidas,"There's no such thing as an ordinary run. These men's stability shoes provide targeted support and optimal comfort for everyday long-distance running. Inspired by NASA technology, the mesh upper has stitched-in areas of reinforcement for precisely calibrated support. Dual-density cushioning is firmer on the medial side to guide your foot for a smooth, confident ride.",0,0,"[""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_1.jpg"",""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_2.jpg"",""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_3.jpg"",""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_4.jpg"",""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_5.jpg"",""https://content.adidas.co.in/static/Product-EE4316/MEN_RUNNING_SHOES_EE4316_6.jpg""]",2020-04-13T15:07:45
1893,Men's adidas Running Solarboost 19 Shoes,EG2363,15999,15999,0,Adidas,"There's no such thing as an ordinary run. These men's shoes provide targeted support and optimal comfort for everyday long-distance running. Inspired by NASA technology, the mesh upper has stitched-in areas of reinforcement for precisely calibrated support. Responsive cushioning returns energy to your stride to give you a smooth, confident ride.",0,0,"[""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_1.jpg"",""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_2.jpg"",""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_3.jpg"",""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_4.jpg"",""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_5.jpg"",""https://content.adidas.co.in/static/Product-EG2363/adidas_EG2363_6.jpg""]",2020-04-13T15:07:31
