,Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Images,Last Visited
2554,Men's adidas Originals ZX 4000 4D Shoes,BD7927,29999,29999,0,Adidas,"In the '80s, the science of sport and wearable technology were new concepts. The ZX running series adopted these ideas with a visibly technical design that became a hallmark of its style. Staying true to the original innovative ZX spirit, the adidas 4D midsole has a revolutionary data-driven design to give you focused, controlled energy return and stability. An adidas Primeknit upper wraps the foot with an engineered fit for targeted support that enhances movement.",0,0,"[""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_1.jpg"",""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_2.jpg"",""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_3.jpg"",""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_4.jpg"",""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_5.jpg"",""https://content.adidas.co.in/static/Product-BD7927/MEN_Originals_SHOES_LOW_BD7927_6.jpg""]",2020-04-13T15:07:57
2579,Men's adidas Originals ZX 4000 4D Shoes,BD7865,29999,29999,0,Adidas,"In the '80s, the science of sport and wearable technology were new concepts. The ZX running series adopted these ideas with a visibly technical design that became a hallmark of its style. Staying true to the original innovative ZX spirit, the adidas 4D midsole has a revolutionary data-driven design to give you focused, controlled energy return and stability. An adidas Primeknit upper wraps the foot with an engineered fit for targeted support that enhances movement.",0,0,"[""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_1.jpg"",""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_2.jpg"",""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_3.jpg"",""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_4.jpg"",""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_5.jpg"",""https://content.adidas.co.in/static/Product-BD7865/MEN_Originals_SHOES_LOW_BD7865_6.jpg""]",2020-04-13T15:07:57
1438,Men's adidas Originals ZX 4000 4D Shoes,EF9625,27999,27999,0,Adidas,"Thousands of athletes. Years of data. adidas 4D is our formula for the future. The digitally printed midsole doesn't just look innovative, individual lattices made from liquid resin feel unique under foot. Light creates the shape, heat sets it. And all this results in a bespoke runner that propels you forward.",0,0,"[""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_1.jpg"",""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_2.jpg"",""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_3.jpg"",""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_4.jpg"",""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_5.jpg"",""https://content.adidas.co.in/static/Product-EF9625/adidas_EF9625_6.jpg""]",2020-04-13T15:07:11
1553,Men's adidas Originals ZX 4000 4D Shoes,EF9624,27999,27999,0,Adidas,"The ZX trainers series resets the running scene in the '80s with a high-tech approach based on studying the physics of human motion. Fusing nostalgia with modern innovation, these streetwear shoes feature a snug, sock-like adidas Primeknit upper and a cutting-edge adidas 4D midsole. The revolutionary data-driven design gives you stability and controlled energy return for an ultra-responsive ride.",0,0,"[""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_1.jpg"",""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_2.jpg"",""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_3.jpg"",""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_4.jpg"",""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_5.jpg"",""https://content.adidas.co.in/static/Product-EF9624/Men_ORIGINALS_SHOES_LOW_EF9624_6.jpg""]",2020-04-13T15:07:16
1642,Unisex adidas Running Alphaedge 4D Shoes,FV6106,27999,27999,0,Adidas,"Add an edge to your game with the new AlphaEdge 4D. Designed for peak performance during your cross-training workouts, this model features a 3D-printed midsole. The lattice structure was developed using years of athlete data to deliver precisely-tuned support and cushioning right where you need it. The process is called digital light synthesis - light creates the shape of the sole, heat sets it. This model features iridescent panels inspired by the galaxy. Our formula for the future. ",0,0,"[""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_1.jpg"",""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_2.jpg"",""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_3.jpg"",""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_4.jpg"",""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_5.jpg"",""https://content.adidas.co.in/static/Product-FV6106/alphaedge_FV6106_6.jpg""]",2020-04-13T15:07:21
1563,Men's adidas Originals ZX 4000 4D Shoes,EF9623,27999,27999,0,Adidas,"The ZX trainers series resets the running scene in the '80s with a high-tech approach based on studying the physics of human motion. Fusing nostalgia with modern innovation, these streetwear shoes feature a snug, sock-like adidas Primeknit upper and a cutting-edge adidas 4D midsole. The revolutionary data-driven design gives you stability and controlled energy return for an ultra-responsive ride.",0,0,"[""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_1.jpg"",""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_2.jpg"",""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_3.jpg"",""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_4.jpg"",""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_5.jpg"",""https://content.adidas.co.in/static/Product-EF9623/Men_ORIGINALS_SHOES_LOW_EF9623_6.jpg""]",2020-04-13T15:07:16
